Name,PGC,RA,Dec,Dis,e_Dis_min,e_dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886235,-1,887.0,2.0,-1,TRGB,Gxy
ANTLIAB,PGC5098252,147.2337,-25.99,1.3931568029453023,0.06270238496721281,0.06565745733004635,-1,376.0,6.0,-1,TRGB,Gxy
ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.31503603436682504,-1,809.0,10.0,-1,TRGB,Gxy
ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.25548330675808195,0.26385329903604315,-1,859.0,9.0,-1,TRGB,Gxy
PGC029194,PGC29194,151.0165,-27.332,1.3365955165464416,0.06015670773509929,0.06299180602617671,-1,361.0,3.0,-1,TRGB,Gxy
ESO443-009,PGC43978,193.7232,-28.3408,5.834451042737443,0.28819391315833887,0.30316900891049237,-1,643.0,4.0,-1,TRGB,Gxy
PGC2807065,PGC2807065,116.5249,-28.4263,5.675446054085469,0.230419525661258,0.24017028766926884,-1,493.0,7.0,-1,TRGB,Gxy
IC4316,PGC48368,205.0761,-28.8942,4.24619563946313,0.07750180475977242,0.07894267088695628,-1,578.0,3.0,-1,TRGB,Gxy
ESO444-078,PGC48029,204.1284,-29.2354,5.2966344389165805,0.07267254892538322,0.07368352478595241,-1,572.0,2.0,-1,TRGB,Gxy
NGC5236,PGC48082,204.2537,-29.8656,4.7863009232263805,0.08735983717422702,0.08898397780747747,-1,508.0,2.0,-1,TRGB,Gxy
NGC5264,PGC48467,205.4031,-29.9127,4.677351412871984,0.1483756138357739,0.15323660752574675,-1,478.0,2.0,-1,TRGB,Gxy
IC4247,PGC47073,201.6852,-30.3625,5.05824662003114,0.09232340552777796,0.0940398257864219,-1,420.0,8.0,-1,TRGB,Gxy
PGC046885,PGC46885,201.1501,-30.9719,4.6558609352295885,0.12688513619337805,0.1304399879967919,-1,490.0,3.0,-1,TRGB,Gxy
PGC704814,PGC704814,359.6697,-31.4675,3.5809643710263597,0.12952697766779497,0.13438791994536237,-1,270.0,89.0,-1,TRGB,Gxy
PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.24733413607852395,0.25899063479532725,-1,571.0,3.0,-1,TRGB,Gxy
ESO461-036,PGC64054,300.989,-31.6816,6.698846094165262,0.330890885086105,0.34808459550620174,-1,432.0,6.0,-1,TRGB,Gxy
ESO407-018,PGC71431,351.616,-32.3886,2.1677041048196948,0.0784079739656538,0.08135050101608421,-1,62.0,3.0,-1,TRGB,Gxy
NGC7793,PGC73049,359.4573,-32.591,3.548133892335755,0.12833946719866374,0.13315584408955594,-1,228.0,3.0,-1,TRGB,Gxy
PGC683190,PGC683190,173.2957,-32.9624,5.470159628939719,0.14907703627176971,0.15325362296377243,-1,704.0,9.0,-1,TRGB,Gxy
PGC677373,PGC677373,204.2511,-33.3625,4.446312674691084,0.2967722483474544,0.3179971933630661,-1,591.0,4.0,-1,TRGB,Gxy
ESO379-007,PGC37369,178.6798,-33.5588,5.321082592667939,0.16879614685037758,0.17432614590830475,-1,642.0,3.0,-1,TRGB,Gxy
ESO384-016,PGC49615,209.2559,-35.3329,4.385306977749858,0.06016866739977189,0.06100569694123248,-1,505.0,9.0,-1,TRGB,Gxy
ESO379-024,PGC38252,181.2361,-35.7431,5.345643593969718,0.24059359421565674,0.25193242098138935,-1,632.0,6.0,-1,TRGB,Gxy
ESO381-018,PGC42936,191.1773,-35.9666,5.321082592667939,0.12112262733278367,0.12394393575627216,-1,620.0,8.0,-1,TRGB,Gxy
ESO383-087,PGC49050,207.3228,-36.0634,3.1188895840939352,0.028594151580345617,0.028858730007378153,-1,329.0,3.0,-1,TRGB,Gxy
IC5332,PGC71775,353.6145,-36.1016,8.790225168308838,0.3956253031148744,0.4142705492228771,-1,705.0,3.0,-1,TRGB,Gxy
NGC5102,PGC46674,200.4901,-36.6301,3.5809643710263597,0.3450278017300761,0.3818159715280318,-1,467.0,2.0,-1,TRGB,Gxy
ESO376-016,PGC31961,160.8636,-37.0439,6.760829753919814,0.3042874635732682,0.31862808992156477,-1,669.0,6.0,-1,TRGB,Gxy
ESO347-017,PGC71464,351.7344,-37.3469,8.241381150130017,0.2980988028872016,0.30928597871680097,-1,691.0,3.0,-1,TRGB,Gxy
HIPASSJ1348-37,PGC4614882,207.1396,-37.9681,5.520774392807576,0.17513079883785831,0.18086832999990232,-1,582.0,6.0,-1,TRGB,Gxy
ESO321-014,PGC39032,183.4571,-38.231,3.2508729738543423,0.1463133857259904,0.1532089231556668,-1,611.0,3.0,-1,TRGB,Gxy
ESO318-013,PGC32250,161.9232,-38.8537,6.760829753919814,0.12339904990072803,0.1256932095229395,-1,715.0,7.0,-1,TRGB,Gxy
ESO320-014,PGC36014,174.4716,-39.2206,5.861381645140288,0.10698227176871633,0.10897122069807885,-1,654.0,4.0,-1,TRGB,Gxy
PGC592761,PGC592761,204.3561,-39.8887,4.965923214503362,0.24529280186745517,0.25803867548783543,-1,491.0,3.0,-1,TRGB,Gxy
PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.35830584340169747,-1,615.0,2.0,-1,TRGB,Gxy
