Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type
HIPASSJ1348-37,PGC4614882,207.1396,-37.9681,5.520774392807576,0.1751307988378583,0.1808683299999023,CF4,833.5907089613625,6.0,LEDA,,
NGC5068,PGC46400,199.7295,-21.0392,5.035006087879052,0.2044180674813205,0.2130685146186781,CF4,977.8965311780328,2.0,LEDA,,
PGC046885,PGC46885,201.1501,-30.9719,4.6558609352295885,0.126885136193378,0.1304399879967919,CF4,776.0499582435966,3.0,LEDA,,
PGC4689210,PGC4689210,161.7216,12.7444,9.594006315159332,0.9642208374896306,1.0719548971432469,CF4,985.192300813082,5.0,LEDA,,
IC4247,PGC47073,201.6852,-30.3625,5.05824662003114,0.0923234055277779,0.0940398257864219,CF4,705.6783460426154,8.0,LEDA,,
ESO270-017,PGC47847,203.6951,-45.5473,6.792036326171846,0.1546056221527605,0.1582068497161248,CF4,1069.3675565373917,4.0,LEDA,,
ESO444-078,PGC48029,204.1284,-29.2354,5.2966344389165805,0.0726725489253832,0.0736835247859524,CF4,852.0962708874779,2.0,LEDA,,
NGC5236_M83,PGC48082,204.2536,-29.8656,4.7863009232263805,0.087359837174227,0.0889839778074774,CF4,786.510807493136,2.0,LEDA,,
IC4316,PGC48368,205.0761,-28.8942,4.24619563946313,0.0775018047597724,0.0789426708869562,CF4,855.5570842138144,3.0,LEDA,,
NGC5264,PGC48467,205.4031,-29.9127,4.677351412871984,0.1483756138357739,0.1532366075257467,CF4,752.6050105393842,2.0,LEDA,,
ESO215-009,PGC490287,164.375,-48.1839,5.345643593969718,0.073344979741492,0.0743653100465246,CF4,874.1456334776235,2.0,LEDA,,
ESO384-016,PGC49615,209.2559,-35.3329,4.385306977749858,0.0601686673997718,0.0610056969412324,CF4,755.6141953411783,9.0,LEDA,,
NGC5398,PGC49923,210.34,-33.0637,12.13388850464978,1.0676506648731046,1.1706556751311332,CF4,1470.4047466529591,3.0,LEDA,,
NGC5408,PGC50073,210.8383,-41.3766,5.199959965335156,0.1649538774561119,0.1703579983673684,CF4,738.2233128023653,3.0,LEDA,,
AGC205315,PGC5057800,162.4683,12.5392,10.0,0.4939520634371828,0.5196187382322233,CF4,1125.114743909912,8.0,LEDA,,
