,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
10,NGC5237,PGC048139,204.4083,-42.8475,3.33,0.02,0.02,-1,607.6572422903305,4.0,-4,HI,BCD,3.567597853404325,-0.013052094894310995,0.9992616263639998,0.038430834490903176,0.6300582561816289,0.07689589453143442,0.07773320785779847,201.38165163594567,327.8137145395743,331.09555965635036,197.818526781732,12.322221770988676,12.20608520333036
11,NGC5253,PGC048334,204.9792,-31.64,3.55,0.03,0.03,-3,679.6723379305939,3.0,-4,HI,Sdm,3.5775619381039605,-0.00963809516205146,0.9988273144978499,0.04843376451194028,0.4341086586698763,0.07920269427530863,0.08275147044179126,136.68872434192963,511.1514624701862,532.2811318969717,128.29057568798822,12.282326867327043,11.46838663705421
12,KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,836.5422369472285,31.0,-14,stars,Sph,3.5870146413327624,-0.013770230461458161,0.998326652549535,0.05785869581611751,0.3442747017876131,0.11197147410737118,0.16814249307773976,-39.115158467129135,436.4931847425762,616.2027013394002,5.730227164495895,49.65542579202553,41.12691733339562
13,ESO325-011,PGC048738,206.25,-41.8589,3.4,0.05,0.05,-1,788.1967284599294,1.0,-15,HI,dIrr,3.5997415822383045,-0.012750950113109855,0.9975116224442188,0.07056075743561016,0.6026560879305424,0.0963174730229367,0.10036879103275143,19.792038204421306,55.75734258271255,57.53654014467709,38.76372579039929,11.517610366787807,11.784875108596864
14,ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,581.4848582548817,2.0,-4,HI,Sdm,3.6185038716972437,-0.010984930621896411,0.9960133518223236,0.08932300813669819,0.8182636244800044,0.08161263873039315,0.08336011529638254,240.22180439304938,260.9755280151412,265.85985853137606,229.20841089618997,10.7875836431852,10.457305603162354
15,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,728.9170039569367,2.0,LEDA,,,2.415764322892163,0.005976228235311479,0.44148870092267645,1.1135391785465936,7.301937812974626,0.2907940839695513,0.30451503797717283,9900.644711022665,14222.039779345787,14798.144561508283,676.7782427971604,15.586708975566125,16.0924470536346
16,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,890.7472033800509,2.0,LEDA,,,3.4253779539763154,-0.01220976680511679,0.994618141674049,0.10379491958569755,1.928207894391362,0.3835818703405627,0.40809272876593483,85.84589353828166,119.71134613908599,126.49067065897741,106.28595037399157,12.341739693430895,12.890142678733909
17,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,1018.8404985637892,4.0,-7,stars,dSph,3.459038373930278,-0.012742755904517594,0.997541130640608,0.07014096796783095,0.3900898068641617,0.10573949224936485,0.18281245543759772,323.99601143430897,3111.598680065795,5155.156324220791,192.64795810837856,103.38526858898246,34.902443204946934
18,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,858.4240234778546,3.0,LEDA,,,3.495623965710583,-0.009604313090197113,0.9994343831788853,0.03363540246694133,1.5588216840913705,0.30505997353375536,0.31682638621695935,53.92432874579432,86.16222405426312,89.06327935674886,56.588844825595096,11.381766784018495,11.467882495030615
19,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,551.6619991955137,10.0,-7,stars,Tr,3.523262999745165,-0.013815131069134724,0.9999807396803159,0.006206509729486192,0.16620914718069696,0.14133944862946865,0.3081934518426805,255.2990866476012,10689.116605013827,22720.97168039871,250.69594589743946,516.9724564334122,19.99324131477971
20,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,733.4469813052991,13.0,-14,stars,dIrr,3.616177347804335,-0.014316226724683858,0.9962159603979407,0.08702216390973014,0.3599003908638058,0.022182225493112828,0.06206965451829871,190.98394950038553,888.0592416021633,2069.365899900087,87.26303372358612,22.299842482377215,21.28391364063873
21,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,692.9716527690911,4.0,LEDA,,,1.855700383231947,-0.01782587632675642,-0.10226661348502666,1.673242043031229,6.821031501766369,0.2470099697168031,0.25978590747355756,1334.4755722531465,86.65634966796789,89.67738350668579,1094.4259557083603,14.83458812814797,14.237269919938171
22,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,915.0027781307612,3.0,LEDA,,,1.8629225556766995,-0.006713646085131142,-0.09522719115258842,1.666168031932735,8.368538836182289,0.3106905292971831,0.3252932028033655,1617.5320749194923,106.45256794277329,109.9086538663969,1251.3842520113742,13.050871424610932,12.74386806514417
23,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,488.3233547854944,2.0,LEDA,,,1.8930766091634055,0.00320491033531794,-0.06529402957041114,1.6361368403845253,8.713447998139612,0.1826129326634245,0.18645205411927002,1642.9502604836862,76.54390709672228,77.50856819387218,845.1072678768332,12.828136653263186,12.941985683379016
24,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,649.3483952832811,4.0,LEDA,,,1.9691991444891384,-0.02077110031170619,0.011060050022808663,1.5597360512734462,5.972882108231235,0.08510962318331661,0.0860150349134301,1222.6991472878299,49.06028357877518,49.375780241269126,1012.1032864218005,10.939168146614406,10.828105180323632
25,UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,472.3284551661035,2.0,LEDA,,,2.0155201828370677,0.005118334195966171,0.05703939622880869,1.5137259556517102,8.69756242650401,0.08886262124561561,0.08967286765632743,1937.9088275621982,80.45674273483944,80.92230493114538,743.8476043922601,10.229019447061773,10.338011094669582
