Unnamed: 0,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.84,angular_distance_CoM_CenA_M83_0.84,dis_center_CoM_CenA_M83_0.84,e_dis_center_min_CoM_CenA_M83_0.84,e_dis_center_max_CoM_CenA_M83_0.84,major_infall_velocity_CoM_CenA_M83_0.84,e_major_infall_velocity_min_CoM_CenA_M83_0.84,e_major_infall_velocity_max_CoM_CenA_M83_0.84,minor_infall_velocity_CoM_CenA_M83_0.84,e_minor_infall_velocity_min_CoM_CenA_M83_0.84,e_minor_infall_velocity_max_CoM_CenA_M83_0.84
107,NGC5237,PGC048139,204.4083,-42.8475,3.33,0.02,0.02,-1,122.00983783484256,4.0,-4,HI,BCD,4.0,3.567597853404325,-0.0130520948943109,0.9990800774743592,0.042896703909729,0.4816425033423693,0.083919717976615,0.086752752995959,190.8634950787608,561.0810653320058,578.9768130298572,175.63667956012011,12.434504223090102,11.193057138838896
109,NGC5253,PGC048334,204.9792,-31.64,3.55,0.03,0.03,-3,192.8282666470973,3.0,-4,HI,Sdm,3.0,3.5775619381039605,-0.0096380951620514,0.9986000000872552,0.0529211999369109,0.3062259066320069,0.0690488028803518,0.0834111568929601,141.30727053876353,1034.2394727758578,1235.8743024485566,94.42574346191566,23.980613643098778,15.763796899602752
71,KK211,PGC048515,205.5208,-45.205,3.68,0.14,0.14,-1,359.7712151411396,31.0,-14,stars,Sph,31.0,3.5870146413327624,-0.0137702304614581,0.998058587077707,0.0623224105503103,0.2560136888007439,0.0239756956712145,0.136064594595196,-123.20419269349124,1061.6341976188455,4590.716884748847,-4.397591946709451,57.32520104373194,60.76114070073096
35,ESO325-011,PGC048738,206.25,-41.8589,3.4,0.05,0.05,-1,311.1276663546054,1.0,-15,HI,dIrr,1.0,3.5997415822383045,-0.0127509501131098,0.997186366399146,0.0750327130531176,0.4713418615694041,0.0920155126968996,0.1032111549721923,-7.21972342674444,35.238140785597665,38.36586853859621,7.502824225010888,8.456346258978517,8.555072781214303
42,ESO383-087,PGC049050,207.325,-36.0614,3.19,0.03,0.03,-1,107.69664987897346,2.0,-4,HI,Sdm,2.0,3.618503871697244,-0.0109849306218964,0.9956037874449596,0.093802318209204,0.6800967006821206,0.0859160251823764,0.0902651421322547,219.24843643697812,359.376962498911,375.81736459748095,181.3617570119453,12.78334081920383,11.067600444136843
140,PGC1599237,PGC1599237,138.4131,19.6188,8.128305161640995,0.3300040564084057,0.3439689797649734,CF4,322.74875595669494,2.0,LEDA,,,2.0,2.415764322892163,0.0059762282353114,0.4454955461726586,1.1090686349956231,7.279031312730893,0.2930846190298428,0.3065153744448228,7041.831180790192,22123.29729458297,23022.66201411604,292.5303146052082,6.61987507345583,6.811093891207577
141,PGC166152,PGC166152,196.2597,-40.0823,5.807644175213121,0.3374845462734024,0.3583058434016974,CF4,361.9355030193232,2.0,LEDA,,,2.0,3.4253779539763154,-0.0122097668051167,0.995071923217244,0.0993189787224617,2.0736642005698376,0.3976120562708374,0.4202144961155696,58.264469096341465,73.14160614010113,76.83473322210475,63.73737573503272,7.849000395859939,7.856141538803364
67,KK189,PGC166158,198.1883,-41.832,4.21,0.17,0.17,-6,501.46315827146793,4.0,-7,stars,dSph,4.0,3.459038373930278,-0.0127427559045175,0.9978450022837008,0.0656623509162845,0.4977032634364016,0.1806390236621785,0.2155335542064876,235.86937626566524,1798.9961374398122,2118.796102359223,181.47049881066167,51.66689036981563,20.022374592518474
142,PGC166163,PGC166163,200.2845,-31.5291,5.495408738576244,0.2473341360785239,0.2589906347953272,CF4,344.5713239817594,3.0,LEDA,,,3.0,3.495623965710583,-0.0096043130901971,0.999573622636118,0.0292030021380347,1.7136719185957123,0.3167459290507972,0.3274122427216566,40.4229058509661,56.530021105399726,58.20503175139622,41.01056729644638,8.41118420333948,8.413420736820022
70,KK203,PGC166167,201.8681,-45.3524,3.78,0.25,0.25,-3,57.40932932841815,10.0,-7,stars,Tr,10.0,3.523262999745165,-0.0138151310691347,0.9999978083610432,0.0020936283133872,0.0105198156899556,0.001982637816823,0.3169125424364613,374.5539137719501,94339.25199257548,12336425.265968582,162.67149866694174,424.70301443108497,99.39383114528296
72,KK221,PGC166179,207.1917,-46.9974,3.82,0.07,0.07,-1,267.8207857080964,13.0,-14,stars,dIrr,13.0,3.616177347804335,-0.0143162267246838,0.9958179672411104,0.0914871675553841,0.3494124474557482,0.0068124299504407,0.0386846405720724,-765.7198264765613,13216.828328267462,44276.45256473629,22.604286728263126,23.700756327859693,18.15905863252612
118,PGC020125,PGC20125,106.3238,-58.5189,5.176068319505678,0.2556729626911664,0.2689582089185336,CF4,278.68704610944906,4.0,LEDA,,,4.0,1.855700383231947,-0.0178258763267564,-0.097807689976799,1.6687606356058649,6.70572852991168,0.2550977333479469,0.2682207462280717,517.687229627861,40.02861599102256,41.3533928420925,425.2516756337381,9.15373777140968,8.928180366484241
52,ESO558-011,PGC20171,106.7376,-22.0396,7.014552984199714,0.3157068900344519,0.3305856973714407,CF4,493.0354562113097,3.0,LEDA,,,3.0,1.8629225556766995,-0.0067136460851311,-0.0907685231679513,1.6616899535163183,8.268434426384992,0.3174812107091407,0.3323550259782735,652.2062558617386,49.98808332440396,51.54993235681861,601.5007805331032,6.426795891118786,6.236344844728478
156,UGC03755,PGC20445,108.4653,10.5211,7.516228940182051,0.1710902586109073,0.1750754626840427,CF4,188.80529607802544,2.0,LEDA,,,2.0,1.8930766091634053,0.0032049103353179,-0.0608284108157558,1.6316623120295126,8.619584903155285,0.1877888928621534,0.1920300111612594,641.0962223352203,37.1150633594106,37.66127034786358,319.45494678653495,7.265682012467778,7.37325908400436
10,ESO059-001,PGC21199,112.8268,-68.1875,4.5289757990362105,0.0621398775265786,0.0630043293324806,CF4,246.7721819663658,4.0,LEDA,,,4.0,1.9691991444891384,-0.0207711003117061,0.0155414518747514,1.5552542492135657,5.858268094731171,0.09125903503186,0.0927651225540922,473.4234276188458,25.130485728463523,25.42224195248788,381.27208772762873,7.690528105925523,7.648842759108618
157,UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,162.279877513386,2.0,LEDA,,,2.0,2.015520182837068,0.0051183341959661,0.0615047817763702,1.5092527017539872,8.61992194384825,0.092128231755229,0.0933487110272199,769.3793033841617,42.198314759386086,42.64942112437266,262.15987498061,6.150704627868379,6.252334452638934
