,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
29,ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.315036034366825,CF4,809.0,10.0,LEDA,,,2.3086325227462474,-0.00801798741491585,0.3431917121920535,1.2204834355192733,7.95615847218941,0.27614440900563064,0.28719726707939586,1995.2871976713675,836.7059657929152,862.563739350564,788.69854784903,14.144914761896644,13.97959333851361
30,NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886236,CF4,887.0,2.0,LEDA,,,2.4342159437442477,-0.006809600572363956,0.4581163655674955,1.0949213690595532,10.644683360589259,0.8450172686510005,0.9260990063949741,-987.4374281556596,869.0497611283477,938.8227543519822,761.4206442882224,11.731941258402799,11.099001837604078
31,NGC2915,PGC26761,141.5493,-76.6264,4.187935651179182,0.0574606312775713,0.0582599882839476,CF4,465.0,3.0,LEDA,,,2.470501338893209,-0.023341736255544247,0.49013451638208216,1.0585522561422174,4.111497324584065,0.058639440092264294,0.05926132067748657,687.7272398457293,83.52338616832218,84.13726477580252,505.46529305134635,7.71774330093001,7.640032314820644
32,NGC2903,PGC27077,143.0421,21.5014,8.953647655495944,0.3635124404419798,0.3788953524739735,CF4,555.0,2.0,LEDA,,,2.496555613966981,0.006549700989801936,0.5124413703582066,1.032770913419066,7.715598410572165,0.32832321830513767,0.34849328453464956,-3115.6298831538206,3053.3828811647745,3201.3789267394577,453.2401924491108,11.2368916916476,10.854492731368168
33,UGC05086,PGC27115,143.2034,21.4657,8.27942163712334,0.3361392898805242,0.3503638405463611,CF4,507.0,34.0,LEDA,,,2.4993708300504474,0.00653882614791555,0.5148565558445742,1.0299560114111963,7.104883234425583,0.294754401117471,0.3142109335313803,-6325.314487883774,11950.376729611653,12550.398072590746,421.5122237967987,40.38397152019053,38.98937622271069
34,PGC2806961,PGC2806961,137.2236,14.5829,9.3756200692588,0.4631106879213451,0.4871747870533003,CF4,318.0,6.0,LEDA,,,2.3950036314396907,0.004442205371007593,0.4227914921000611,1.1342728667229478,8.496462223743947,0.4188528939100511,0.4459922293006411,-178969.73200709192,5933124.719363751,6262596.913257617,287.24058140890145,18.014885072878315,18.370540308450188
35,PGC2807061,PGC2807061,105.1176,-4.2071,6.516283940608428,0.2645570128515695,0.2757523855634183,CF4,290.0,4.0,LEDA,,,1.8346482217943914,-0.0012815559467846617,-0.12339584840821187,1.6945074890717988,8.022728925147542,0.2654037984694151,0.27628846533195883,980.153501665166,65.81972015599727,67.51512919751548,575.33774820137,14.88784963613648,14.945876718531963
36,PGC2807065,PGC2807065,116.525,-28.4263,5.675446054085469,0.230419525661258,0.2401702876692688,CF4,493.0,7.0,LEDA,,,2.0337449108863925,-0.008659146160082915,0.07538502672345654,1.4953397159009068,6.662905874213062,0.21653666302306718,0.2257916195105052,960.9678973735047,75.9983918613598,77.96537878607852,685.2411482019762,14.918767925283305,14.613943763402403
37,PGC2807150,PGC2807150,208.6396,4.2444,2.5468302525850426,0.2873944823640655,0.3239503294396515,CF4,285.0,3.0,LEDA,,,3.641447970043961,0.0012929181765427057,0.9936174736482313,0.11304271203083609,1.4427888695037454,0.36017422060844595,0.33439527539997616,266.51189746332795,380.9135665791244,366.02622995810475,262.3464718987765,13.96605725338145,11.63730178062957
38,KKs54,PGC2815821,200.3829,-31.8864,3.75,0.1,0.1,-10,621.0,11.0,-7,stars,Tr,3.4973413696945457,-0.009713152894286904,0.9994907701447109,0.03191466999150274,0.2299658540964468,0.10152905560268688,0.14430451747317016,-89.3808244797722,1640.4207647484905,2291.844509718993,-54.87012193996327,29.51949141045322,56.78673042242068
