,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_NGC5128_CenA_NGC5236_M83_0.7,angular_distance_CoM_NGC5128_CenA_NGC5236_M83_0.7,dis_center_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_dis_center_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,major_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_major_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7,minor_infall_velocity_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_min_CoM_NGC5128_CenA_NGC5236_M83_0.7,e_minor_infall_velocity_max_CoM_NGC5128_CenA_NGC5236_M83_0.7
25,KKs57,PGC2815823,205.4079,-42.5797,3.84,0.47,0.47,-1,274.8249519203368,17.0,-7,stars,Sph,17.0,3.5850441646072606,-0.012970518349292116,0.9986356329229374,0.05224322806981584,0.23277099138532542,7.284280384336949,7.284280384336949,55.88224403757804,175.16966450882686,175.16966450882686,26.774333109756153,51.19015305119363,51.19015305119363
26,KKs58,PGC2815824,206.5031,-36.3289,3.36,0.1,0.1,-10,255.9270951543958,5.0,-7,stars,dSph,5.0,3.6041590105751022,-0.011066415781689357,0.997456152257879,0.0713432127288619,0.647445606187922,0.4247439248344578,0.4247439248344578,51.18339915241955,7.623575492689121,7.623575492689121,50.927730626361594,7.091763242449563,7.091763242449563
27,UGC05288,PGC28378,147.8208,7.8283,11.27197456175511,0.6550189897678518,0.6954307513173266,CF4,374.551093721425,12.0,LEDA,,,12.0,2.579959662932034,0.0023846365473162907,0.5792905204776897,0.9529383032361445,9.542515186964975,0.419082681005486,0.419082681005486,-317.9427941124761,42.75140513337534,42.75140513337534,270.77946677889696,163.24514583844268,163.24514583844268
28,UGC05373,PGC28913,150.0001,5.3322,1.3995873225726183,0.0192030579697339,0.0194701991164747,CF4,111.89936479366617,2.0,LEDA,,,2.0,2.617995623320746,0.0016242810057866875,0.609873690321137,0.9148951272195464,3.2918869711619045,0.06930763617889457,0.06930763617889457,249.15301070094654,5.326443986105516,5.326443986105516,250.7468344002538,12.99068410807191,12.99068410807191
29,PGC029033,PGC29033,150.4092,-8.2485,9.727472237769655,1.097686760099954,1.2373097236622073,CF4,202.20693400480775,3.0,LEDA,,,3.0,2.625135765290655,-0.0025126367871106657,0.615562994407185,0.9076961790160892,7.931578618012548,0.7560585805055914,0.7560585805055914,-695.1952586137394,163.41047710262907,163.41047710262907,108.264097715195,120.82109036795707,120.82109036795707
30,NGC3109,PGC29128,150.7786,-26.1595,1.3061708881318403,0.0530297131904253,0.0552737943341083,CF4,109.57324371604147,2.0,LEDA,,,2.0,2.6315830115475225,-0.007968639392910403,0.6206765572723715,0.9011910357094289,3.3049388016246404,0.0709965899208676,0.0709965899208676,246.97592709343806,5.393867023106611,5.393867023106611,249.88273905941531,13.539574767840362,13.539574767840362
31,PGC029194,PGC29194,151.0165,-27.332,1.3365955165464416,0.0601567077350992,0.0629918060261767,CF4,65.34599654157512,3.0,LEDA,,,3.0,2.6357351498380166,-0.00832580331761032,0.6239288757062746,0.8970361786519954,3.2892801264999183,0.07104247282200468,0.07104247282200468,276.3616503686427,5.720372344114759,5.720372344114759,264.7096103589854,13.846226518705118,13.846226518705118
32,UGC05456,PGC29428,151.8324,10.362,10.28016298126473,0.9904991134653685,1.0961098769695674,CF4,375.3594626295077,3.0,LEDA,,,3.0,2.6499752912050387,0.0031564457038298745,0.6348779352575061,0.8829458066295793,8.349158033025981,0.6541163683270335,0.6541163683270335,-209.30970330576955,35.6678839285887,35.6678839285887,255.99599137386505,237.22092025735716,237.22092025735716
33,PGC029653,PGC29653,152.7533,-4.6928,1.4125375446227544,0.0510928621568034,0.053010296333156,CF4,94.03202720967798,1.0,LEDA,,,1.0,2.6660480282866543,-0.001429508627575066,0.6472673877480944,0.8668022386086991,3.2238028517544053,0.07017250714646717,0.07017250714646717,256.7057252551415,5.370168970574875,5.370168970574875,252.0095994867766,13.141851996315374,13.141851996315374
34,PGC3097113,PGC3097113,207.8286,-46.9735,5.597576014951097,0.3009415760345248,0.3180403268036409,CF4,291.28721398120115,5.0,LEDA,,,5.0,3.6272933498102873,-0.014308946368350957,0.9955373386679486,0.09450909492855165,1.703592124728213,0.7317249987822402,0.7317249987822402,-13.506885672079514,7.275963864540415,7.275963864540415,-3.684943050811002,6.729775973168109,6.729775973168109
35,PGC3097708,PGC3097708,189.3995,-8.8671,9.549925860214357,0.429817466655269,0.4500741397856451,CF4,917.490311350293,5.0,LEDA,,,5.0,3.305644876631,-0.002701073122990724,0.9742697325573635,0.2273383908073989,5.767893868081339,0.31418787857816105,0.31418787857816105,637.0752957226437,8.084649607501058,8.084649607501058,625.5258618851088,232.35075057596674,232.35075057596674
36,UGC05797,PGC31693,159.855,1.7185,10.185913880541165,0.9814181630094492,1.0860606812139295,CF4,507.48760181177454,2.0,LEDA,,,2.0,2.789996075775535,0.0005234850359034587,0.7365096010631241,0.7429006212134972,7.750372906253983,0.6283615689641548,0.6283615689641548,154.91991308893552,18.386695147166655,18.386695147166655,337.6574481850053,304.5420995723158,304.5420995723158
37,ESO376-016,PGC31961,160.8636,-37.0439,6.760829753919814,0.3042874635732682,0.3186280899215647,CF4,364.46306419038063,6.0,LEDA,,,6.0,2.8075994666111503,-0.011284217236836855,0.7483904418011914,0.7251643254946695,4.618743466858148,0.22862324317152669,0.22862324317152669,-125.47790096707996,34.79153160467268,34.79153160467268,227.48531876307138,50.61977223242956,50.61977223242956
38,NGC3351,PGC32007,160.9904,11.7035,9.727472237769655,0.1334659226103234,0.1353226185424603,CF4,624.0546821630431,2.0,LEDA,,,2.0,2.809812544102679,0.0035650899724737443,0.7497262842614858,0.7231479700826007,7.252043969888764,0.08692369054616285,0.08692369054616285,358.35309252017345,13.395888647576497,13.395888647576497,442.57309445329196,50.32845207205227,50.32845207205227
39,NGC3368,PGC32192,161.6904,11.8198,10.91440336448757,0.4431178839785694,0.4618694937467449,CF4,739.3049155288525,2.0,LEDA,,,2.0,2.8220298488666398,0.003600516978394938,0.7577524506051879,0.7109344320809663,8.328551920390668,0.25811680751710997,0.25811680751710997,496.5008106264984,18.176718224246248,18.176718224246248,545.9692474378242,212.32748700477768,212.32748700477768
40,NGC3377,PGC32249,161.9265,13.9856,10.185913880541165,0.0933850197743204,0.0942491007235659,CF4,541.8622481604492,11.0,LEDA,,,11.0,2.826150571230598,0.004260257386168992,0.7604246242481365,0.7068296165657245,7.625117890763443,0.0654070564133416,0.0654070564133416,219.580385086557,19.71666739563569,19.71666739563569,359.60584682247355,32.35441433511759,32.35441433511759
41,ESO318-013,PGC32250,161.9232,-38.8537,6.760829753919814,0.123399049900728,0.1256932095229395,CF4,409.4999110311934,7.0,LEDA,,,7.0,2.8260929753652824,-0.01183551384316684,0.7605284189167795,0.7066697764131624,4.547967455336577,0.093258580010883,0.093258580010883,32.929883614606105,27.55296823841504,27.55296823841504,258.89548412079506,23.20498453314212,23.20498453314212
