,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians
66,"E174-01,KKs59",13,47,57.7,-,53,21,4.0,10,-1.5,432,6.0,6.0,,h,CNG,,206.99041666666665,3.612664290908279,-53.35111111111111,-0.9311525484862192
68,HIPASS J1348-37,13,48,33.9,-,37,58,3.0,10,-1.2,347,3.0,5.75,0.66,rgb,K07,,207.14125,3.6152968291967045,-37.9675,-0.6626578837509471
69,KK221,13,48,46.4,-,46,59,49.0,-3,0.6,270,33.0,3.98,0.4,rgb,CNG,C,207.19333333333333,3.6162058548487845,-46.996944444444445,-0.8202514189324128
70,E383-87,13,49,18.8,-,36,3,41.0,8,0.5,108,1.0,3.45,0.27,rgb,K07,C,207.32833333333335,3.618562049338977,-36.061388888888885,-0.6293899689532106
71,HIPASS J1351-47,13,51,22.0,-,47,0,0.0,10,-1.1,292,3.0,5.73,0.73,rgb,K07,,207.84166666666664,3.6275214061658807,-47.0,-0.8203047484373349
72,KKH86,13,54,33.6,+,4,14,35.0,10,-1.5,209,3.0,2.61,0.16,rgb,CNG,,208.64000000000001,3.6414549513609695,4.243055555555555,0.07405528978948162
73,E384-016,13,57,1.6,-,35,20,2.0,10,-0.3,350,32.0,4.53,0.31,rgb,K07,,209.25666666666666,3.6522178150816007,-35.33388888888889,-0.616692698644952
74,N5408,14,3,21.5,-,41,22,35.0,10,-0.5,288,7.0,4.81,0.48,rgb,CNG,,210.83958333333334,3.679844922699628,-41.37638888888889,-0.7221542186967094
75,"Circinus,E97-13",14,13,9.3,-,65,20,21.0,3,-0.7,204,10.0,2.82,0.28,tfi,K07,,213.28875000000002,3.722590944963056,-65.33916666666666,-1.1403835888426614
76,DDO187,14,15,56.5,+,23,3,19.0,10,-1.3,172,4.0,2.28,0.23,rgb,T06,,213.98541666666665,3.7347500720852826,23.05527777777778,0.4023905071841038
77,P51659,14,28,3.7,-,46,18,6.0,10,0.1,175,2.0,3.58,0.33,rgb,CNG,C,217.01541666666665,3.7876335484207106,-46.30166666666666,-0.8081165324942411
78,E222-10,14,35,3.0,-,49,25,18.0,10,-1.4,405,5.0,5.8,,h,CNG,,218.7625,3.818125904894095,-49.42166666666667,-0.8625708051564642
79,HIPASS,14,41,27.0,-,62,41,55.0,10,,441,3.0,6.1,,h,M04,,220.3625,3.8460511729260047,-62.698611111111106,-1.094297200316389
80,E272-25,14,43,25.5,-,44,42,19.0,8,-1.5,422,10.0,5.9,,h,CNG,,220.85625000000002,3.8546687361077265,-44.70527777777778,-0.7802542902408761
81,E223-09,15,1,8.5,-,48,17,33.0,10,-0.8,387,6.0,6.49,0.51,rgb,K07,,225.2854166666667,3.9319722775606425,-48.2925,-0.8428631290193616
82,E274-01,15,14,13.5,-,46,48,45.0,7,-0.8,335,5.0,3.09,0.23,rgb,K07,,228.55624999999998,3.9890590885112895,-46.8125,-0.8170322560898455
83,HIPASS J1526-51,15,26,17.0,-,51,10,4.0,,,416,,5.8,,h,M04,,231.57083333333333,4.041673493253702,-51.16777777777777,-0.8930461931510095
84,E137-18,16,20,59.3,-,60,29,15.0,9,-1.8,420,3.0,6.4,0.48,rgb,K07,,245.24708333333334,4.280369085079577,-60.487500000000004,-1.0557060313000701
85,"I4662,E102-14",17,47,6.3,-,64,38,25.0,9,-0.9,145,4.0,2.44,0.19,rgb,K06a,,266.77625000000006,4.656123928623524,-64.64027777777778,-1.1281856766259457
86,"Tucana,P69519",22,41,49.0,-,64,25,12.0,-2,-0.1,9,2.0,0.88,0.09,rgb,CNG,,340.45416666666665,5.9420461604668615,-64.42,-1.124341104134747
