;Name;RAh;RAm;RAs;DE-;DEd;DEm;DEs;RA_degrees;Dec_degrees;T;Theta;Vhelios;VLG;e_VLG;Mag;e_Mag;Dis;e_Dis;f_Dis;Ref;Note;article
85;I4662,E102-14;17;47;6.3;-;64;38;25;266.77625;-64.64027778;9;-0.9;;145;4;;;2.44;0.19;rgb;K06a;;
86;Tucana,P69519;22;41;49;-;64;25;12;340.4541667;-64.42;-2;-0.1;;9;2;;;0.88;0.09;rgb;CNG;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;updated data;;;;;;;;;;;;;;;;;;;;;;
;https://arxiv.org/pdf/2403.08717;;;New;Updated;;;;;;;;;;;;;;;;;;
41;KK200;13;24;36;-;30;58;20;201.15;-30.97222222;9;1.2;494;264;1;;;4.76;0.248;rgb;CNG;M;2003A&A...401..483H
34;KK195;13;21;8.2;-;31;31;47;200.2841667;-31.52972222;10;0;572;338;5;;;5.22;0.325;rgb;CNG;M;
43;I4247,E444-34;13;26;44.4;-;30;21;45;201.685;-30.3625;10;1.5;420;195;10;;;5.18;0.195;rgb;K07;M;
;dw1335-29;13;35;46.7;-;29;42;28;;;;;;;;;;5.03;0.027;;;M;
49;E444-78,UA365;13;36;30.8;-;29;14;11;204.1283333;-29.23638889;10;2.1;577;363;1;;;5.42;0.55;rgb;K07;M;
;kk208;13;36;35.5;-;29;34;15;;;;;;;;;;5.01;0.026;;;M;
52;DEEP J1337-33;13;37;0.6;-;33;21;47;204.2525;-33.36305556;10;1.2;591;371;5;;;4.55;0.299;rgb;CNG;M;
;ESO 444-084;13;37;20.2;-;28;2;46;;;;;587;;;;;4.61;0.156;;;M;
;dw1340-30;13;40;19.2;-;30;21;31;;;;;;;;;;5.06;0.074;;;M;
57;I4316,E445-06;13;40;18.1;-;28;53;40;205.0754167;-28.89444444;10;2.4;576;382;12;;;4.35;0.104;rgb;CNG;M;
;dw1341-29;13;41;20.2;-;29;34;3;;;;;;;;;;4.9;0.084;;;M;
58;N5264;13;41;37;-;29;54;50;205.4041667;-29.91388889;10;2.6;478;268;3;;;4.79;0.067;rgb;CNG;M;
;KK218;13;46;39.5;-;29;58;45;;;;;;;;;;494;0.178;;;M;
