Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,T,Theta,VLG,e_VLG,Dis,e_Dis,f_Dis,Ref,Note,RA_degrees,RA_radians,Dec_degrees,Dec_radians,cos_theta,angular_distance,dis_center,minor_infall_velocity,major_infall_velocity,major_infall_velocity_bis
KK196,13.0,21.0,47.1,-,45.0,3.0,48.0,10,2.2,490,5.0,3.98,0.29,rgb,K07,C,200.44625,3.498447035775684,-45.06333333333333,-0.786503538590378,0.9636872565659462,0.270313395650276,1.6982034915501014,-49.30583724638265,-337.09812279118734,-215.66173570976198
N5102,13.0,21.0,57.8,-,36.0,37.0,47.0,1,0.7,230,7.0,3.4,0.39,rgb,CNG,C,200.4908333333333,3.499225161733864,-36.62972222222222,-0.6393092568687118,0.9915462991011537,0.13012024182293672,1.8423418404679197,80.88107983150026,76.67224028886791,78.22000610971715
KK200,13.0,24.0,36.0,-,30.0,58.0,20.0,9,1.2,264,1.0,4.63,0.46,rgb,CNG,M,201.15,3.510729790386594,-30.97222222222222,-0.5405672544371326,0.9987258948422734,0.050485162315569876,0.5846184935532198,42.299321308441684,44.24372800980351,44.00340272075297
"N5128,Cen A",13.0,25.0,28.9,-,43.0,1.0,0.0,-2,0.6,301,5.0,3.77,0.38,rgb,R04,C,201.37041666666667,3.514576786946198,-43.016666666666666,-0.7507824665662274,0.9729813961946693,0.23298564588253154,1.7272222228456082,44.63797137144209,-7.200749176844802,12.88892518128608
"I4247,E444-34",13.0,26.0,44.4,-,30.0,21.0,45.0,10,1.5,195,10.0,4.97,0.49,rgb,K07,M,201.685,3.5200673018847635,-30.3625,-0.5299255941367783,0.9992128140178003,0.039680959687147105,0.27654128787834575,82.05432999233585,161.75716275804115,155.66546106539818
E324-24,13.0,27.0,37.4,-,41.0,28.0,50.0,10,2.4,270,6.0,3.73,0.43,rgb,CNG,C,201.9058333333333,3.5239215706495837,-41.480555555555554,-0.72397227000087,0.978986518750558,0.20536548321519252,1.689314814302983,60.21588627165493,35.29527696441384,44.43260651660009
P170257,13.0,29.0,21.0,-,21.0,10.0,45.0,10,0.2,457,29.0,6.3,,h,CNG,,202.33749999999998,3.531455575254026,-21.179166666666667,-0.36964619116196573,0.9880733121204665,0.15459929636389477,1.4404948938388344,156.464666978948,187.7742055981296,199.59800730517222
N5206,13.0,33.0,43.9,-,48.0,9.0,4.0,-3,1.1,322,10.0,3.47,0.28,rgb,Sh06,C,203.43291666666667,3.550574202768581,-48.151111111111106,-0.8403954273825139,0.9494578849233279,0.3192920266225217,2.1601003119627693,49.47575851103084,-50.42764194925019,-1.998048080086684
"E270-17,RFGC2603",13.0,34.0,47.3,-,45.0,32.0,51.0,8,1.0,583,2.0,4.3,0.8,tf,K07,C,203.69708333333332,3.5551847808759325,-45.5475,-0.7949538410521172,0.9627591351148208,0.2737675482302917,1.5466740510349015,-51.224621213690995,-672.3679726027997,-390.0868838921041
"E444-78,UA365",13.0,36.0,30.8,-,29.0,14.0,11.0,10,2.1,363,1.0,5.25,0.43,rgb,K07,M,204.12833333333333,3.562711513275158,-29.23638888888889,-0.5102712475045977,0.9999375646784736,0.011174611512898456,0.10715757425542871,51.574451583119014,70.01969759982339,70.4774415391728
"N5236, M83",13.0,37.0,0.1,-,29.0,52.0,4.0,5,0.8,304,4.0,5.16,0.41,rgb,K07,M,204.25041666666667,3.5648422694036346,-29.86777777777778,-0.5212910624762175,1.0,0.0,0.0,0.0,0.0,0.0
DEEP J1337-33,13.0,37.0,0.6,-,33.0,21.0,47.0,10,1.2,371,5.0,4.51,0.45,rgb,CNG,M,204.2525,3.564878630429718,-33.363055555555555,-0.5822951679702304,0.9981398260714398,0.061004113347313565,0.7134973350978695,-52.47193329737259,-75.27746096788604,-71.8600885130306
E444-84,13.0,37.0,20.2,-,28.0,2.0,46.0,10,1.7,380,4.0,4.61,0.46,rgb,CNG,M,204.33416666666668,3.56630398265218,-28.046111111111113,-0.4894969812690541,0.9994937931566377,0.03181979122149228,0.5714743142209742,-70.16590265764373,-79.50483469064754,-78.43469747065193
HIPASS J1337-39,13.0,37.0,25.1,-,39.0,53.0,52.0,10,-0.3,258,5.0,4.9,0.49,rgb,CNG,,204.35458333333335,3.566660320707796,-39.897777777777776,-0.6963475864512487,0.9847155965539178,0.1750628368500898,0.916788805266236,60.0743242899767,209.30792833470815,136.72262251626222
N5237,13.0,37.0,38.9,-,42.0,50.0,51.0,-3,2.1,126,5.0,3.4,0.23,rgb,K07,C,204.41208333333333,3.567663885027692,-42.847500000000004,-0.7478299512482705,0.9744470861817937,0.22655015668054057,1.9985496341230113,178.28177398601082,208.9595946899644,196.1018137083866
N5253,13.0,39.0,55.8,-,31.0,38.0,24.0,8,0.0,190,4.0,3.6,0.2,rgb,Sa04,C,204.9825,3.5776195339692762,-31.64,-0.5522221753310059,0.9994614068015846,0.03282199117866064,1.566400272761573,114.24760087188264,114.50730298354111,114.4282410869164
"I4316,E445-06",13.0,40.0,18.1,-,28.0,53.0,40.0,10,2.4,382,12.0,4.41,0.44,rgb,CNG,M,205.07541666666665,3.579241235732588,-28.894444444444446,-0.5043031910901393,0.9997770059722056,0.021118821747908113,0.7567355719125111,-76.32982965572762,-78.88993131763458,-78.51160594441336
N5264,13.0,41.0,37.0,-,29.0,54.0,50.0,10,2.6,268,3.0,4.53,0.45,rgb,CNG,M,205.40416666666667,3.5849790056485196,-29.913888888888888,-0.5220958531868592,0.9998472891134226,0.017476542764795204,0.635640757710787,36.34361353754648,36.320918532915705,36.323736181819946
KK211,13.0,42.0,5.6,-,45.0,12.0,18.0,-5,1.5,340,23.0,3.58,0.36,rgb,CNG,C,205.5233333333333,3.587058856340479,-45.205000000000005,-0.7889760883640368,0.9642350109730871,0.26825448749381114,1.9539086413117461,22.923205650248047,-65.63081382372143,-27.271627381204095
E325-11,13.0,45.0,0.8,-,41.0,51.0,32.0,10,1.1,307,4.0,3.4,0.39,rgb,CNG,C,206.25333333333333,3.599799759880038,-41.85888888888889,-0.730575432337582,0.9777852525727757,0.21117522269327985,1.9690279474213785,26.851822344336927,-11.67182154799336,4.097750157913806
"E174-01,KKs59",13.0,47.0,57.7,-,53.0,21.0,4.0,10,-1.5,432,6.0,6.0,,h,CNG,,206.99041666666665,3.612664290908279,-53.35111111111111,-0.9311525484862192,0.9165842481294479,0.4113440390093893,2.422953436577886,183.91358475751215,292.4849186818941,656.3235492184881
HIPASS J1348-37,13.0,48.0,33.9,-,37.0,58.0,3.0,10,-1.2,347,3.0,5.75,0.66,rgb,K07,,207.14125,3.6152968291967045,-37.9675,-0.6626578837509471,0.9891543574658213,0.14741305297003202,0.9958315259009263,64.01436524352883,71.37258694403744,74.05273761513678
KK221,13.0,48.0,46.4,-,46.0,59.0,49.0,-3,0.6,270,33.0,3.98,0.4,rgb,CNG,C,207.19333333333333,3.6162058548487845,-46.996944444444445,-0.8202514189324128,0.9548631968211954,0.3015974325457231,1.8017577525974324,87.4793045089377,38.57777796469673,61.20546435643744
CoM,,,,,,,,,,304,,5.159999999999999,,,,,,3.564842269403634,,-0.5212910624762175,1.0,0.0,0.0,0.0,-0.0,0.0
