,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
10,UGC03974,PGC21600,115.4808,16.8025,7.979946872679773,0.073160592681515,0.0738375393108983,CF4,272.0,2.0,LEDA,,,2.0155201828370677,0.005118334195966171,0.056796839645337494,1.5139689060949286,8.673465698043394,0.09340381189495162,0.0946547364100816,1330.3309467164402,60.2621909772787,61.03093756484677,457.3142781226878,7.998148338169756,8.10018363415594
11,PGC021614,PGC21614,115.632,16.5612,7.798301105232589,0.1069967023664952,0.1084851747656685,CF4,284.0,4.0,LEDA,,,2.018159120666083,0.005044830012571638,0.05943198342404334,1.5113293004235313,8.501971117391244,0.12371589521287163,0.1256021037123336,1304.3742944938242,66.72328325091908,67.62765335271844,470.4299453695148,10.475911666462082,10.56633832178602
12,UGC04115,PGC22277,119.259,14.391,7.691304402866094,0.1055286525742618,0.1069967023664952,CF4,350.0,6.0,LEDA,,,2.0814622126359175,0.004383749288150523,0.12246454768726024,1.4480235828781138,8.179960620416656,0.11854525883173217,0.12034791935382394,1386.9114572123149,88.5767780775324,89.78465623894377,503.29924520065134,11.934048083879873,11.98818995050675
13,ESO495-021,PGC24171,129.0633,-26.4093,8.053784411990671,0.2554833067580819,0.2638532990360431,CF4,859.0,9.0,LEDA,,,2.2525795284891976,-0.008044732824373122,0.28980355036744004,1.276774753471444,7.862021006487274,0.23893795688852837,0.24692530226810394,1485.150949017742,359.1627757739372,368.8140005272324,863.6066643827251,12.152010534862711,11.790758312365597
14,ESO496-010,PGC24781,132.2749,-26.3215,8.394599865193978,0.3036408734101439,0.315036034366825,CF4,809.0,10.0,LEDA,,,2.3086325227462474,-0.00801798741491585,0.34296333162477455,1.2207265727955676,7.948956693296977,0.27843929542482293,0.28936379796485223,2091.6808621912514,926.2036299961293,956.4863383167119,787.1474116518214,14.109971533856083,13.78209005286351
15,NGC2835,PGC26259,139.4703,-22.3546,11.857687481671608,0.8929055202397631,0.9656183448886236,CF4,887.0,2.0,LEDA,,,2.4342159437442477,-0.006809600572363956,0.4579002714177847,1.0951644588391956,10.654560648019078,0.8486267060221824,0.9301905628352518,-930.3489069559911,775.1090177469987,838.7572350011823,760.5450578496469,11.430282880687173,11.031781497376528
16,NGC2915,PGC26761,141.5493,-76.6264,4.187935651179182,0.0574606312775713,0.0582599882839476,CF4,465.0,3.0,LEDA,,,2.470501338893209,-0.023341736255544247,0.489922356449604,1.0587956407517753,4.0838723413619915,0.06389284216129809,0.06499340980415713,699.6144950995931,87.87226820019154,89.13700145517853,502.87618524727793,6.762945816321178,6.509258118443881
17,NGC2903,PGC27077,143.0421,21.5014,8.953647655495944,0.3635124404419798,0.3788953524739735,CF4,555.0,2.0,LEDA,,,2.496555613966981,0.006549700989801936,0.5122328895787315,1.0330136760702824,7.7220207748985485,0.3309322829318688,0.3516267593518885,-2816.9550308914745,2545.18766788922,2672.690910630182,451.2197385466705,11.307988055639669,11.13513014789487
18,UGC05086,PGC27115,143.2034,21.4657,8.27942163712334,0.3361392898805242,0.3503638405463611,CF4,507.0,34.0,LEDA,,,2.4993708300504474,0.00653882614791555,0.514648426865541,1.030198773050304,7.108908567125004,0.2970090881042804,0.3170867966562092,-5256.256996940312,8518.143098968227,8956.641758634807,419.12648225294646,40.755404713932535,39.564127916553105
19,PGC2806961,PGC2806961,137.2236,14.5829,9.3756200692588,0.4631106879213451,0.4871747870533003,CF4,318.0,6.0,LEDA,,,2.3950036314396907,0.004442205371007593,0.4225713979069347,1.1345157216923263,8.497779814813708,0.4199845433134257,0.4482827118171233,-43174.95244190521,353462.56708236365,373734.2265562859,284.36449496413195,18.348299249926015,18.723141109099743
