,Name,PGC,RA,Dec,Dis,e_Dis_min,e_Dis_max,ref_dis,V_h,e_V_h,ref_V_h,Source,Type,e_V_LG,RA_radians,Dec_radians,cos_theta_CoM_CenA_M83_0.76,angular_distance_CoM_CenA_M83_0.76,dis_center_CoM_CenA_M83_0.76,e_dis_center_min_CoM_CenA_M83_0.76,e_dis_center_max_CoM_CenA_M83_0.76,major_infall_velocity_CoM_CenA_M83_0.76,e_major_infall_velocity_min_CoM_CenA_M83_0.76,e_major_infall_velocity_max_CoM_CenA_M83_0.76,minor_infall_velocity_CoM_CenA_M83_0.76,e_minor_infall_velocity_min_CoM_CenA_M83_0.76,e_minor_infall_velocity_max_CoM_CenA_M83_0.76
63,NGC4592,PGC42336,189.8281,-0.532,8.669618757582173,0.3519810465554585,0.3668759796408452,CF4,913.540450785043,2.0,LEDA,,,2.0,3.313125357805048,-0.000162056467326529,0.9766311947817437,0.21661206589293505,4.949377452106941,0.4129955457033221,0.42801028870613056,635.5444113426186,207.84277072699876,215.23416433657837,619.3850184203617,7.467705471363956,7.2471509267794545
64,NGC4594,PGC42407,189.9976,-11.623,9.120108393559102,0.3298832252502475,0.3422632200988236,CF4,891.2959455963941,5.0,LEDA,,,5.0,3.3160836908871785,-0.0035405682701809137,0.9772959431846425,0.2134970405288312,5.389590840172827,0.39282563664649217,0.40493222790138894,608.0820278678525,170.87343969041603,175.96860165472177,597.6228200993704,10.090985729388422,9.991164823245413
65,NGC4600,PGC42447,190.0958,3.1177,9.078205301781855,0.2879801334730167,0.297414767476944,CF4,713.2988929334658,30.0,LEDA,,,30.0,3.3177976042126365,0.0009497057296690214,0.9776095130100112,0.21201200510534796,5.346115823222364,0.35153220675353225,0.3605519515494393,421.7673780757121,137.41834772023932,140.12672125902884,421.5492030991477,34.45689249398691,34.40621102428844
66,ESO381-018,PGC42936,191.1772,-35.9666,5.321082592667939,0.1211226273327836,0.1239439357562721,CF4,362.7240705102898,8.0,LEDA,,,8.0,3.3366715947437036,-0.010956052890500632,0.9814828183160795,0.1927413460291658,1.6842094838318833,0.16304033298496656,0.17019961806957196,66.07567937861985,68.97939735828493,71.08803804807741,83.92373292879304,12.873489988972182,12.075401863770594
67,ESO381-020,PGC43048,191.5017,-33.8381,5.345643593969718,0.1216817039785205,0.1245160349700009,CF4,335.3851605115155,3.0,LEDA,,,3.0,3.342335188166425,-0.010307674712484624,0.982550893893412,0.18708334388084472,1.6932427496417821,0.16558567504770827,0.17239983170164752,32.27817311658778,35.389116458532065,36.35141857704983,57.77762269274579,8.858533093364173,8.577784230272776
68,PGC043072,PGC43072,191.5638,10.2055,9.418895965228415,0.9075155832046456,1.0042783287046235,CF4,1031.9282546517231,2.0,LEDA,,,2.0,3.343419037631913,0.003108773077633255,0.9826393974579051,0.18660690313521514,5.650592182309754,0.9667299983232356,1.0651570673873296,747.236957854262,453.76643178498995,498.99263613357755,734.9801110949078,8.14966195928605,7.473645719286196
69,SDSSJ124936.90+215505.7,PGC4343356,192.4035,21.9178,6.338697112569274,0.2852883650301372,0.2987335914498237,CF4,491.0819518190804,4.0,LEDA,,,4.0,3.35807456736091,0.006676543683401121,0.9851841303248986,0.172351964942434,2.601070812784277,0.33901118515100004,0.3550701869818469,198.5751422780012,150.37313608714794,156.85095566641365,199.08855378611142,8.720634129314135,8.455258737232043
70,PGC043851,PGC43851,193.4868,-12.1059,8.953647655495944,0.5590477903019657,0.5962782047184252,CF4,634.8316892688551,2.0,LEDA,,,2.0,3.3769817191477642,-0.0036876680221959155,0.98837028610102,0.15265861113333865,5.150951666096326,0.6242203578932992,0.6613506117370438,335.99378430631214,153.79086399544104,162.57582008676786,338.0353245810492,7.019689241200183,6.897792963688687
71,ESO443-009,PGC43978,193.7232,-28.3408,5.834451042737443,0.2881939131583388,0.3031690089104923,CF4,407.5512652825407,4.0,LEDA,,,4.0,3.381107677499479,-0.00863310137069115,0.989017184574388,0.14834404753007818,2.076156027215516,0.33917430164116946,0.3584641357391445,109.56800754506769,122.01813450402582,128.15661444938866,115.68490952419899,9.316668116963555,8.825107357897153
72,PGC044055,PGC44055,193.9185,19.2092,4.720630412635907,0.149748516487155,0.1546544883979592,CF4,362.2979751987631,4.0,LEDA,,,4.0,3.384516305528624,0.0058514569401668425,0.9893623398170242,0.14599023142580694,1.045723303625639,0.1710222987112765,0.19047387877176392,72.98016247397015,161.63024310513956,176.92248288337902,76.11826109792197,8.504817149242655,7.188458120713008
