HYPERLEDA,LEDA,LEDA,LEDA,LEDA,"All CF4 Individual Distances","All CF4 Individual Distances"
pgc,v,e_v,RA2000,DEC2000,DMtrgb,eDMt
%7s,%8.0f,%8.0f,%12s,%12s,%5.2f,%4.2f
---,km/s,km/s,h,deg,mag,mag
"The Catalogue of Principal Galaxies (PGC) Number","Mean Heliocentric radial velocity (cz)","Actual error on v","Right Ascension (J2000)","Declination (J2000)","Distance modulus from TRGB measures, CF4 zero point","Error of measured TRGB modulus"
44055,419,4,125540.4,+191233.2,28.37,0.07
44182,408,4,125643.8,+214055.0,28.17,0.03
44536,837,5,125901.8,+345139.0,29.94,0.04
44681,827,2,125956.6,-192441.0,29.26,0.09
44982,749,2,130214.4,-171416.2,28.75,0.07
45104,744,6,130333.2,-463512.7,27.44,0.07
166152,615,2,130502.3,-400456.5,28.82,0.13
45314,315,19,130549.6,+373617.8,28.14,0.04
45372,32,3,130624.9,+674224.9,28.37,0.02
45506,219,2,130803.6,+464940.7,28.25,0.06
45546,-58,55,130835.9,+785613.6,28.32,0.03
45717,400,8,131032.9,-465931.2,27.82,0.01
2815820,0,0,131114.2,-385422.0,27.28,0.07
45849,407,1,131211.8,+440217.0,28.86,0.06
166158,0,0,131245.2,-414955.4,28.08,0.09
45916,784,31,131308.8,-445324.0,27.82,0.02
45917,647,96,131311.6,-431553.8,27.81,0.02
166159,368,9,131339.8,+420237.0,29.54,0.08
46039,192,3,131428.2,+455510.9,28.09,0.08
5057032,242,7,131520.1,+473237.0,28.13,0.13
46127,265,2,131529.8,+472958.7,28.17,0.05
46153,508,3,131549.3,+420145.2,29.73,0.02
46400,671,2,131855.1,-210221.1,28.51,0.09
5509264,0,0,131952.4,-415937.0,27.87,0.11
166163,571,3,132108.3,-313144.9,28.70,0.10
46663,741,15,132147.1,-450344.8,27.94,0.06
46674,467,2,132157.6,-363748.4,27.77,0.22
46680,0,0,132201.9,-423205.1,27.87,0.02
2815822,0,0,132212.6,-424343.1,27.88,0.04
5509263,0,0,132302.3,-414710.0,27.94,0.12
46885,490,3,132436.0,-305818.8,28.34,0.06
46957,552,6,132528.1,-430105.2,27.78,0.04
5509265,0,0,132557.6,-410539.0,27.71,0.18
5509266,0,0,132628.7,-433324.0,27.76,0.09
47073,420,8,132644.4,-302145.0,28.52,0.04
166167,0,0,132728.0,-452108.7,27.83,0.14
47171,514,2,132738.4,-412841.7,27.84,0.05
47368,202,2,132936.5,+582509.4,28.26,0.24
47404,461,2,132952.7,+471142.5,29.61,0.08
5072214,0,0,132957.3,-415222.6,27.84,0.19
5072213,0,0,133014.1,-415330.4,27.69,0.10
5509262,0,0,133021.5,-421133.0,27.74,0.09
1726175,360,8,133230.3,+250725.0,28.57,0.09
47762,582,6,133344.1,-480904.2,27.48,0.01
47788,395,7,133402.9,+475455.4,29.71,0.08
47853,229,1,133442.5,+513649.2,28.22,0.02
48029,572,2,133630.8,-291407.3,28.62,0.03
166170,0,0,133635.5,-293416.8,28.45,0.08
677373,591,4,133700.3,-332145.1,28.24,0.15
48082,508,2,133700.9,-295156.0,28.40,0.04
592761,491,3,133725.5,-395319.4,28.48,0.11
48139,360,8,133739.1,-425048.8,27.56,0.01
48280,274,2,133919.5,+244630.8,28.11,0.03
48332,202,2,133953.8,+404420.9,27.41,0.04
48368,578,3,134018.3,-285339.1,28.14,0.04
48467,478,2,134136.7,-295445.8,28.35,0.07
2815823,0,0,134138.1,-423455.1,27.87,0.25
48515,0,0,134205.7,-451218.6,27.78,0.08
2576103,222,35,134307.2,+581339.3,28.69,0.09
166172,0,0,134336.3,-434609.6,27.83,0.11
166175,0,0,134617.1,-454105.3,27.67,0.21
166176,0,0,134639.7,-295844.3,28.42,0.06
4689187,0,0,134809.2,-473353.8,27.77,0.05
4614882,582,6,134833.5,-375805.2,28.71,0.07
166179,0,0,134846.4,-465947.9,27.86,0.05
49050,329,3,134917.5,-360348.1,27.47,0.02
3097113,529,5,135118.9,-465824.6,28.74,0.12
2807150,285,3,135433.5,+041440.0,27.03,0.26
49448,141,2,135445.8,+535411.9,29.25,0.02
49452,224,2,135448.5,+355015.7,27.51,0.06
49615,505,9,135701.4,-351958.5,28.21,0.03
50063,237,2,140312.6,+542056.6,29.07,0.08
50216,255,22,140501.5,+533944.1,29.17,0.12
5067392,0,0,140649.8,+534428.8,29.04,0.09
50911,324,3,141509.3,+570514.9,29.69,0.03
51210,302,2,141948.2,+564346.0,29.17,0.10
51472,150,2,142443.5,+443133.9,27.21,0.04
51659,392,2,142803.6,-461818.6,27.74,0.23
52125,621,4,143503.0,-492518.2,27.44,0.09
52142,218,5,143524.6,+571520.4,28.77,0.02
52591,629,3,144325.5,-444218.3,27.91,0.09
53639,588,2,150108.6,-481730.6,28.95,0.02
57888,606,5,162059.1,-602915.3,28.79,0.08
60849,306,3,174709.4,-643820.8,26.98,0.02
60921,36,12,174926.5,+700839.6,28.93,0.07
4689184,426,9,175248.4,+700814.4,29.00,0.11
61922,739,4,182838.0,-665856.1,29.29,0.06
62572,796,4,185541.2,-644841.0,29.71,0.06
62814,69,38,190842.4,+701702.0,29.04,0.04
62836,852,16,190945.9,-635127.7,29.81,0.10
62869,776,8,191123.1,-641308.4,29.89,0.18
63000,-140,9,191641.4,+635820.7,27.70,0.04
5060431,279,6,195211.8,+142824.0,29.57,0.14
64054,432,6,200357.3,-314053.6,29.13,0.11
64181,814,3,200931.7,-615102.1,29.77,0.14
64824,127,2,203015.2,+602626.4,29.22,0.09
65001,46,2,203452.6,+600913.6,29.21,0.12
65603,589,3,205205.1,-691205.1,28.65,0.06
67045,851,4,213628.9,-543327.4,29.84,0.06
